Ville,Secteur,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
Temara,Massira 2,Fiat,Punto,2007,200 000 - 249 999,Diesel,5,Manuelle,5,WW au Maroc,Non,Très bon,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,60000
Temara,,Dacia,Dokker Van,2013,400 000 - 449 999,Diesel,6,Manuelle,3,WW au Maroc,Non,Excellent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70000
Casablanca,,Dacia,Dokker,2014,160 000 - 169 999,Diesel,6,Manuelle,5,WW au Maroc,,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,90000
Casablanca,,Volkswagen,Touareg,2005,0 - 4 999,Diesel,10,Automatique,5,WW au Maroc,Oui,Excellent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,90000
Dakhla,,Toyota,Prado,2007,200 000 - 249 999,Diesel,12,Manuelle,5,WW au Maroc,Non,Excellent,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,97000
Khouribga,Toute la ville,Volkswagen,Tiguan,2014,180 000 - 189 999,Diesel,8,Automatique,5,Dédouanée,Non,Très bon,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,243500
Meknès,Autre secteur,Peugeot,308,2009,200 000 - 249 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,85000
Casablanca,,Renault,Clio,2014,75 000 - 79 999,Diesel,6,Manuelle,5,WW au Maroc,,Très bon,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,93000
Mohammedia,,Peugeot,208,2021,10 000 - 14 999,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,164000
Fquih Ben Saleh,,Volkswagen,GOLF 7,2013,120 000 - 129 999,Diesel,8,Automatique,5,Dédouanée,Non,Excellent,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,198000
