Ville,Secteur,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
Temara,Massira 2,Fiat,Punto,2007,200 000 - 249 999,Diesel,5,Manuelle,5,WW au Maroc,Non,Très bon,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,60000
Temara,Unknown,Dacia,Dokker Van,2013,400 000 - 449 999,Diesel,6,Manuelle,3,WW au Maroc,Non,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,70000
Casablanca,Unknown,Dacia,Dokker,2014,160 000 - 169 999,Diesel,6,Manuelle,5,WW au Maroc,Unknown,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,90000
Casablanca,Unknown,Volkswagen,Touareg,2005,0 - 4 999,Diesel,10,Automatique,5,WW au Maroc,Oui,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,90000
Dakhla,Unknown,Toyota,Prado,2007,200 000 - 249 999,Diesel,12,Manuelle,5,WW au Maroc,Non,Excellent,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,97000
Khouribga,Toute la ville,Volkswagen,Tiguan,2014,180 000 - 189 999,Diesel,8,Automatique,5,Dédouanée,Non,Très bon,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,243500
Meknès,Autre secteur,Peugeot,308,2009,200 000 - 249 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,85000
Casablanca,Unknown,Renault,Clio,2014,75 000 - 79 999,Diesel,6,Manuelle,5,WW au Maroc,Unknown,Très bon,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,93000
Mohammedia,Unknown,Peugeot,208,2021,10 000 - 14 999,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,164000
Fquih Ben Saleh,Unknown,Volkswagen,GOLF 7,2013,120 000 - 129 999,Diesel,8,Automatique,5,Dédouanée,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,198000
Meknès,Zitoune,Dacia,Dokker,2016,110 000 - 119 999,Diesel,6,Manuelle,5,WW au Maroc,Unknown,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,114000
Fès,Unknown,Renault,Kangoo,2008,160 000 - 169 999,Diesel,6,Automatique,5,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,70000
Ait Melloul,Toute la ville,Ford,Kuga,2016,200 000 - 249 999,Diesel,8,Manuelle,5,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,180000
Tétouan,Unknown,Land Rover,Range Rover Sport,2018,35 000 - 39 999,Diesel,12,Automatique,5,Importée neuve,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,243500
Tanger,Zemmouri,Citroen,Berlingo,2015,10 000 - 14 999,Essence,6,Manuelle,3,WW au Maroc,Non,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,105000
Casablanca,Aïn Sebaâ,Dacia,Logan Mcv,2017,0 - 4 999,Diesel,5,Manuelle,5,WW au Maroc,Oui,Très bon,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,98000
